Fid,Geometry,Latitude,Longitude,Number of Records,E Sense Atte,E Sense Medi
32759,POINT,40.841827,-73.937819,1,47,1
65874,POINT,40.797541,-73.967932,1,94,1
4588,POINT,40.715221,-74.002489,1,23,4
21356,POINT,40.777223,-73.949253,1,43,4
42949,POINT,40.758928,-73.988224,1,81,4
10736,POINT,40.723482,-73.988419,1,100,8
39778,POINT,40.754387,-73.977233,1,47,10
8237,POINT,40.760093,-73.984728,1,56,10
81335,POINT,40.725043,-73.995603,1,91,10
17298,POINT,40.870733,-73.914237,1,17,11
65873,POINT,40.79757,-73.967903,1,91,11
71613,POINT,40.720456,-73.989982,1,100,11
31999,POINT,40.73472,-73.990634,1,47,13
71257,POINT,40.712214,-74.005382,1,1,16
3417,POINT,40.678408,-74.007376,1,27,16
59494,POINT,40.784291,-73.952123,1,44,16
81403,POINT,40.726442,-73.999087,1,90,16
81402,POINT,40.726442,-73.999038,1,90,16
7216,POINT,40.719206,-73.999874,1,93,16
87340,POINT,40.7125,-73.999393,1,100,16
32732,POINT,40.842185,-73.938847,1,24,17
6672,POINT,40.731125,-74.002908,1,47,17
10505,POINT,40.723411,-73.982756,1,51,17
10512,POINT,40.723323,-73.982633,1,51,17
24289,POINT,40.719204,-74.005049,1,83,17
34864,POINT,40.857061,-73.932392,1,63,20
58982,POINT,40.795614,-73.943855,1,7,21
36197,POINT,40.862719,-73.929943,1,26,21
65783,POINT,40.799813,-73.966065,1,41,21
79387,POINT,40.71588,-73.986733,1,63,21
72586,POINT,40.707102,-74.004206,1,67,21
520,POINT,40.707342,-74.002935,1,78,21
15816,POINT,40.864481,-73.928743,1,88,21
84277,POINT,40.720303,-73.989918,1,100,21
72361,POINT,40.711584,-73.999445,1,41,23
43968,POINT,40.780992,-73.972315,1,51,23
7606,POINT,40.704876,-73.995105,1,60,23
56137,POINT,40.82506,-73.940383,1,93,23
43693,POINT,40.767743,-73.981532,1,94,23
81684,POINT,40.729007,-74.007108,1,100,23
42807,POINT,40.75811,-73.989102,1,20,24
3789,POINT,40.689259,-73.998722,1,34,24
57505,POINT,40.800481,-73.960146,1,37,24
59199,POINT,40.789746,-73.947944,1,37,24
87854,POINT,40.717051,-73.990837,1,43,24
84453,POINT,40.720245,-73.989968,1,47,24
4211,POINT,40.697776,-73.98882,1,66,24
76798,POINT,40.726381,-73.97708,1,67,24
6104,POINT,40.743527,-74.002718,1,90,24
39718,POINT,40.759258,-73.972563,1,90,24
8083,POINT,40.764865,-73.983233,1,13,26
71176,POINT,40.712389,-74.006837,1,53,26
41173,POINT,40.729301,-73.984278,1,90,26
78304,POINT,40.719609,-73.986651,1,91,26
42357,POINT,40.751532,-73.992775,1,1,27
3914,POINT,40.69076,-73.994257,1,24,27
19869,POINT,40.841625,-73.939095,1,29,27
33842,POINT,40.856995,-73.932437,1,37,27
33323,POINT,40.854175,-73.928244,1,41,27
48162,POINT,40.723526,-73.982807,1,44,27
65686,POINT,40.801658,-73.964988,1,57,27
22133,POINT,40.798306,-73.936824,1,57,27
57523,POINT,40.800778,-73.959875,1,60,27
30838,POINT,40.755883,-74.001926,1,67,27
38427,POINT,40.794573,-73.948808,1,67,27
23517,POINT,40.726725,-73.981278,1,91,27
87456,POINT,40.711935,-73.998137,1,93,27
66658,POINT,40.733348,-73.995625,1,94,27
66641,POINT,40.73373,-73.995412,1,94,27
66637,POINT,40.733948,-73.995143,1,94,27
66634,POINT,40.734069,-73.995044,1,94,27
8555,POINT,40.756356,-73.98732,1,94,27
8544,POINT,40.756498,-73.987105,1,94,27
7454,POINT,40.714609,-74.005479,1,96,27
58728,POINT,40.803007,-73.938409,1,100,27
11715,POINT,40.749184,-73.97061,1,16,29
25521,POINT,40.757097,-73.982558,1,20,29
18562,POINT,40.858348,-73.931453,1,27,29
30934,POINT,40.748608,-74.00706,1,29,29
16702,POINT,40.866609,-73.924453,1,30,29
46248,POINT,40.777695,-73.978904,1,41,29
62346,POINT,40.713686,-73.979591,1,53,29
60401,POINT,40.758944,-73.971232,1,56,29
73415,POINT,40.710431,-74.009732,1,61,29
62350,POINT,40.713688,-73.979564,1,61,29
29792,POINT,40.799227,-73.968652,1,67,29
29776,POINT,40.799595,-73.968452,1,67,29
20856,POINT,40.847564,-73.93112,1,67,29
33321,POINT,40.85409,-73.928282,1,67,29
